2023-08-17 02:45:40, BTCUSDT, 28351.7 USDT, LONG, 4x 
2023-08-17 02:45:14, BTCUSDT, 28372.1 USDT, LONG, 4x 
2023-08-17 02:44:45, BTCUSDT, 28445.7 USDT, LONG, 4x 
2023-08-17 02:40:27, BTCUSDT, 28548.6 USDT, LONG, 4x 
2023-08-17 02:39:42, BTCUSDT, 28602.6 USDT, LONG, 4x 
2023-08-17 02:22:00, BTCUSDT, 28716.2 USDT, LONG, 4x 
2023-08-17 02:20:05, BTCUSDT, 28724.8 USDT, LONG, 4x 
2023-08-17 01:37:51, BTCUSDT, 28763.1085 USDT, LONG, 4x 
2023-08-17 09:06:21, LINKUSDT, 6.8 USDT, LONG, 20x 
2023-08-17 02:44:41, LINKUSDT, 6.678 USDT, LONG, 20x 
2023-08-16 22:29:48, LINKUSDT, 6.611 USDT, LONG, 20x 
2023-08-16 22:29:00, LINKUSDT, 6.67 USDT, LONG, 20x 
2023-08-16 22:28:35, LINKUSDT, 6.728 USDT, LONG, 20x 
2023-08-16 22:24:43, LINKUSDT, 6.783 USDT, LONG, 20x 
2023-08-16 21:14:09, LINKUSDT, 6.844 USDT, LONG, 20x 
2023-08-16 18:03:55, LINKUSDT, 6.788 USDT, LONG, 20x 
